3997,"Talk Number"
0,"0","aaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
1,"1","小兄弟，到此寒天雪地，*不知有何指教？"
2,"2","我正在寻找一些书籍，无意*间路过此地，敢问兄台尊姓*大名？"
3,"3","在下胡斐。"
4,"4","哦？就是人称""雪山飞狐""的*胡斐吗？"
5,"5","不敢，正是在下。"
6,"6","听说大哥刀法变幻莫测，轻*功也有如飞天狐狸般的敏捷*。"
7,"7","江湖上的朋友过誉了。唉…*…"
8,"8","胡大哥似乎有什么心事？不*妨说出来，看看小弟能否帮*上什么忙。"
9,"9","不瞒贤弟。我有两件心事，*一是要报杀父之仇，二是要*寻找我家丢失的刀谱。"
10,"A","这两件事的确不好办。我看*不如这样吧，我正在寻找一*些书，要在江湖上到处走动*，胡大哥如果不嫌弃，不妨*与小弟同行，说不定可以得*到你想要的消息。"
11,"B","既然如此，恭敬不如从命。"
12,"C","你的队伍已满，我就直接去*小村吧。"
13,"D","这两件事的确不好办。我也*无能为力，在下告辞。"
14,"E","小兄弟，再次造访，不知有*何见教？"
15,"F","我正在寻找一些书，要在江*湖上到处走动，胡大哥如果*不嫌弃，不妨与小弟同行，*说不定可以得到你想要的消*息。"
16,"10","没事，随便逛逛。"
17,"11","他的女人是我的，宝藏也是*我的，武功也是我的，哈哈*哈……"
18,"12","你可是辽东大侠胡一刀之子*？"
19,"13","你，你是什么人？"
20,"14","你可知道你的杀父仇人是谁*？"
21,"15","前辈如果知道，还望见教。*胡某感激不尽。"
22,"16","你可知道""打遍天下无敌手*金面佛""苗人凤？"
23,"17","苗大侠的武功人品，是在下*一直久仰的。"
24,"18","嘿嘿，你父胡一刀就是死在*苗人凤剑下！"
25,"19","什么？……你怎么知道？"
26,"1A","此事乃我亲眼所见，绝无虚*假。你可以找苗人凤当面对*质。"
27,"1B","如此多谢了，我这就去找苗*人凤。"
28,"1C","且慢，你可有本事战胜苗人*凤？"
29,"1D","父仇不共戴天，胡某尽力而*为。"
30,"1E","这位少侠，你可是在找十四*天书？"
31,"1F","你怎么什么都知道？"
32,"20","哈哈，这就是我的本事。我*还可以告诉你，苗人凤身上*，就有你要的东西！"
33,"21","你告诉我们这些，你有什么*企图？"
34,"22","少侠果然是明白人。不瞒少*侠，我也要从苗人凤身上找*一幅地图。你要报父仇，你*要找天书，我们有共同的敌*人苗人凤，无奈这苗人凤武*艺太高强。我们不妨一起合*作，我有办法让苗人凤束手*就擒。怎么样？"
35,"23","大丈夫处世当光明磊落。父*仇虽大，胡某也绝不做小人*勾当。"
36,"24","胡大哥，我觉得这位先生说*的有道理，只要能达到我们*的目的，用什么手段不重要*。"
37,"25","哼！我胡某看错人了！告辞*！"
38,"26","唉，胡大哥，怎么那么心急*啊！"
39,"27","少侠，我们不必管他。要除*掉苗人凤，光靠你我二人还*不够，我们还要再找一个人*。"
40,"28","谁？"
41,"29","一个跌打医生！"
42,"2A","少侠不妨再考虑考虑。"
43,"2B","胡斐怎么没和少侠一起来？"
44,"2C","二位考虑得如何了？"
45,"2D","少侠果然英明。"
46,"2E","你们是田归农请来的吧！神*龙教何时跟田归农搭在一起*了．"
47,"2F","还多亏了田兄，我们才知道*""飞狐外传""一书在你这．识*相的话就快将书交出来．"
48,"30","田归农呢？他怎麽不敢出来*见我．"
49,"31","嘿嘿，苗兄，好久不见，别*来无恙乎？"
50,"32","姓田的，亏你还有脸来见我*！"
51,"33","苗兄，何必这么大的火气，*伤了你我兄弟的和气。"
52,"34","……**她还好吗？……"
53,"35","我看你是见不到她了．这药*是从毒手药王那弄来的断肠*草粉末，药效也真够狠，现*下你双眼已瞎，我看""打遍*天下无敌手""的金面佛苗人*凤，今日要上西天了，兄弟*们，上！"
54,"36","苗大侠，我帮你拿贼。"
55,"37","小兄弟，你尊姓大名，与我*可有渊源？"
56,"38","丈夫结交，但重义气，*只需肝胆相照，何必提名道*姓。"
57,"39","好，苗人凤独来独往，生平*只有两个知交，一个是辽东*大侠胡一刀，另一个便是你*这位不知姓名没见过面的小*兄弟。"
58,"3A","你说什麽。那你为何要杀死*胡大侠。"
59,"3B","这说来话长……"
60,"3C","大哥，*我们先想办法救苗大侠，*这事以後再说。"
61,"3D","苗大侠，既然这药是毒手药*王所配制，那我们去求毒手*药王救治，或能解得。"
62,"3E","要求毒手药王吗？那是徒劳*往返，不用去了。"
63,"3F","不，天下无难事！这位毒手*药王住在那里？"
64,"40","听说此人在洞庭湖畔隐居。"
65,"41","我这就去了！"
66,"42","苗大侠，你要照顾好自己，*等我从毒手药王那求取到解*药回来帮你医治。"
67,"43","这位姑娘，请问这里是药王*庄吗？*＜莫非她就是毒手药王？＞"
68,"44","金面佛苗大侠中毒受伤，所*用毒药，乃奸人自前辈处盗*来，望前辈慈悲赐予解药。"
69,"45","哼！姜师兄又随意将毒药给*予外人，江湖上的人又将这*笔帐记在师父头上了。*这次又是中了什麽毒？"
70,"46","原来毒手药王是你师父，害*我前辈长前辈短的乱叫，你*也不怕折寿吗？"
71,"47","我又没叫你叫，是你自己爱*叫的。"
72,"48","你到药王庄来所为何事？"
73,"49","还请姑娘请药王前辈出来，*在下想向他求取断肠草的解*药。"
74,"4A","我师父已经过世了。"
75,"4B","那这该如何是好？"
76,"4C","这断肠草的毒并不太难解。"
77,"4D","原来姑娘已得到药王先生的*真传，还请姑娘惠赐解药。"
78,"4E","给你解药也是可以，只要你*帮我办一件事。"
79,"4F","什麽事？"
80,"50","你功夫好不好？"
81,"51","自然不差。"
82,"52","口气倒是很大。*好，那我要你帮我找回一样*东西。"
83,"53","什麽东西？"
84,"54","七心海棠。***这东西自从被我姜师兄盗出*去後，现在不知流落何方。**若不赶快找回来的话，不知*又有多少笔烂帐要记在我药*王庄的头上。"
85,"55","那我要到那里去找？"
86,"56","我如果知道还要你去找吗？*不过你可以多留意一些滥施*毒药，迷药害人的家伙。"
87,"57","尚不知姑娘芳名？"
88,"58","程灵素。"
89,"59","那，灵姑娘，告辞了。"
90,"5A","找到七心海棠了吗？*自己不行的话就多带些人去*找。"
91,"5B","奇怪，头怎麽这麽重……*莫非……"
92,"5C","原本预备对付苗人凤的悲酥*清风，居然先让你受用了！"
93,"5D","你……你……"
94,"5E","江湖上最近盛传有个年轻小*毛头到处找""十四天书""，*想必就是你吧？*找到几本书啦？*快交出来。"
95,"5F","你真卑鄙。"
96,"60","我阎基做事向来只求结果，*不问方法。**怎麽？还不拿出来，要大爷*我亲自动手吗？要知道书对*死人是没有意义的。"
97,"61","倒要看看死的是你还是我。*胡大哥，我们上。"
98,"62","好！"
99,"63","这……这是……这是我苦寻*多时的胡家刀法的缺页！"
